Hz,Gain
745.3703704,0.7765247
746.2962963,0.820482697
747.2222222,0.861066085
748.1481481,0.898198852
749.0740741,0.932223086
750,0.96214855
750.9259259,0.988725082
751.8518519,1.012534983
752.7777778,1.03234896
753.7037037,1.048461919
754.6296296,1.061534943
755.5555556,1.072017465
756.4814815,1.079932449
757.4074074,1.085474495
758.3333333,1.088972072
759.2592593,1.090523201
760.1851852,1.089708682
761.1111111,1.086973851
762.037037,1.082988599
762.962963,1.077941291
763.8888889,1.070761808
764.8148148,1.061405638
765.7407407,1.050038751
766.6666667,1.037764125
767.5925926,1.024041061
768.5185185,1.007958638
769.4444444,0.990130252
770.3703704,0.97035869
771.2962963,0.948690849
772.2222222,0.924596319
773.1481481,0.899278954
774.0740741,0.871753712
775,0.842355308
775.9259259,0.811729669
776.8518519,0.778972177
777.7777778,0.744040572
778.7037037,0.706677111
779.6296296,0.666854554
780.5555556,0.627067112
781.4814815,0.585419757
782.4074074,0.540276119
783.3333333,0.493422894
784.2592593,0.445002825
785.1851852,0.393193266
786.1111111,0.339041707
787.037037,0.282879376
787.962963,0.224405735
788.8888889,0.163665119
789.8148148,0.100191084
790.7407407,0.034369615
791.6666667,-0.03420873
792.5925926,-0.105039051
793.5185185,-0.178511607
794.4444444,-0.254258974
795.3703704,-0.331701353
796.2962963,-0.411461374
797.2222222,-0.493486506
798.1481481,-0.577961358
799.0740741,-0.663512939
800,-0.751231875
800.9259259,-0.840974677
801.8518519,-0.931756378
802.7777778,-1.024209109
803.7037037,-1.117574492
804.6296296,-1.212387622
805.5555556,-1.307772631
806.4814815,-1.404978596
807.4074074,-1.505438018
808.3333333,-1.605947461
809.2592593,-1.707819794
810.1851852,-1.811845618
811.1111111,-1.916257447
812.037037,-2.022517693
812.962963,-2.131349511
813.8888889,-2.240819698
814.8148148,-2.352241697
815.7407407,-2.464624788
816.6666667,-2.576579453
817.5925926,-2.688398188
818.5185185,-2.80153011
819.4444444,-2.914654042
820.3703704,-3.025822715
821.2962963,-3.135952156
822.2222222,-3.245889713
823.1481481,-3.353816828
824.0740741,-3.45771175
825,-3.558255907
825.9259259,-3.655940478
826.8518519,-3.749365206
827.7777778,-3.836921613
828.7037037,-3.919056243
829.6296296,-3.994672427
830.5555556,-4.064076852
831.4814815,-4.125802406
832.4074074,-4.179406494
833.3333333,-4.22531804
834.2592593,-4.260978176
835.1851852,-4.287631289
836.1111111,-4.306373501
837.037037,-4.316310052
837.962963,-4.316386883
838.8888889,-4.307349008
839.8148148,-4.289893394
840.7407407,-4.264679921
841.6666667,-4.230482675
842.5925926,-4.188840619
843.5185185,-4.140143023
844.4444444,-4.084995118
845.3703704,-4.024781401
846.2962963,-3.958348293
847.2222222,-3.886779903
848.1481481,-3.810984811
849.0740741,-3.732117111
850,-3.65058352
850.9259259,-3.565952423
851.8518519,-3.47844103
852.7777778,-3.389159731
